match_id,season,date,match_week,kick_off_time,stadium,attendance,referee,weather,temperature_c,humidity_pct,match_importance,home_team,away_team,home_manager,away_manager,home_formation,away_formation,home_strategy_embedding,away_strategy_embedding,home_player_performance,away_player_performance,home_goals_ht,away_goals_ht,home_goals_ft,away_goals_ft,home_goal_timestamps,away_goal_timestamps,home_shots_total,away_shots_total,home_shots_on_target,away_shots_on_target,home_shot_accuracy_pct,away_shot_accuracy_pct,home_xg,away_xg,home_xg_diff,away_xg_diff,home_possession_pct,away_possession_pct,home_passes,away_passes,home_pass_accuracy_pct,away_pass_accuracy_pct,home_long_balls,away_long_balls,home_corners,away_corners,home_corner_goals,away_corner_goals,home_freekicks,away_freekicks,home_freekick_goals,away_freekick_goals,home_penalties_awarded,away_penalties_awarded,home_penalty_goals,away_penalty_goals,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_offsides,away_offsides,home_saves,away_saves,home_goals_conceded,away_goals_conceded,home_tackles,away_tackles,home_interceptions,away_interceptions,home_clearances,away_clearances,home_blocks,away_blocks,home_aerial_duels_won,away_aerial_duels_won,home_crosses,away_crosses,home_cross_accuracy_pct,away_cross_accuracy_pct,home_dribbles_attempted,away_dribbles_attempted,home_dribble_success_pct,away_dribble_success_pct,home_distance_covered_km,away_distance_covered_km,home_sprints,away_sprints,ht_injury_time_min,ft_injury_time_min,var_decisions,var_decisions_overturned,betting_odds_home_win,betting_odds_draw,betting_odds_away_win,result,home_points_earned,away_points_earned
59,2019-20,2019-09-18,9,12:30,Gtech Community Stadium,16521,Michael Oliver,Overcast,13.1,41,League,Brentford,Burnley,Thomas Frank,Vincent Kompany,5-4-1,4-1-4-1,attack,,good,good,2,0,4,0,36;38;40;85,none,13,7,10,2,76.9,28.6,4.49,0.1,-0.49,-0.1,,41.5,452,277,81.8,,62,22,6,9,0,0,13,9,0,0,0,0,0,0,N/A,11,1,1,0,0,3,5,2,6,0,4,26,24,15,14,10,20,12,4,9,5,-22,5,40.1,44.4,15,9,71.8,,108.5,105.4,277,252,2,4,0,0,1.97,4.3,3.84,H,3,0
1763,2023-24,2024-01-30,11,14:05,Bramall Lane,,Anthony Taylor,Clear,14.3,41,League,Sheffield United,Nottm Forest,Chris Wilder,Nuno Espirito Santo,3-4-3,4-3-2-1,defense,defense,average,bad,1,1,2,1,17;33,17,19,14,7,8,36.8,,2.49,?,-0.49,N/A,46.3,53.7,525,455,72.8,82.8,62,73,7,6,1,1,20,14,0,?,,0,1,0,7,12,2,2,0,,6,5,7,5,1,2.0,10,10,8,15,13,14,11,6,22,22,10,14,20.7,22.7,14,9,53.8,71.0,,103.8,166,282,1,3,1,0,2.55,4.21,2.7,H,3,0
887,2021-22,2021-11-13,22,15:00,Tottenham Hotspur Stadium,52393,Michael Oliver,Rainy,8.3,,Relegation 6-pointer,Tottenham,Nottm Forest,Ange Postecoglou,Nuno Espirito Santo,4-3-2-1,3-5-2,attack,defense,average,good,0,0,4,0,4;34;79;79,none,20,7,8,1,40.0,14.3,4.99,0.2,-0.99,-0.2,51.8,48.2,696,411,82.2,75.9,,28,11,3,0,0,20,,0,0,0,0,0,0,13,19,2,2,0,0,2,2,1,4,0,4,16,23,14,,29,33,5,2,6,9,17,15,35.9,19.3,20,,73.2,,108.7,106.6,234,282,4,2,2,2,2.14,5.42,2.87,H,3,0
975,2021-22,2022-01-09,34,16:30,Bramall Lane,25697,Stuart Attwell,Foggy,26.6,48,Top 4 battle,Sheffield United,Wolves,Chris Wilder,Gary O'Neil,3-4-3,4-2-3-1,defense,defense,bad,average,1,2,2,2,72;79,70;77,19,8,5,3,26.3,37.5,1.59,1.57,0.41,0.43,32.3,67.7,nan,570,72.3,81.6,56,73,2,9,1,2,16,11,1,0,1,0,,0,20,13,0,,0,0,6,3,1,3,2,2,23,11,16,9,21,16,7,9,14,6,24,7,19.5,29.3,5,9,72.6,N/A,105.1,-,246,275,2,,2,0,3.7,nan,2.18,D,1,1
543,2020-21,2021-01-06,12,14:05,Selhurst Park,23077,Simon Hooper,Cloudy,24.1,78,League,Crystal Palace,Aston Villa,Oliver Glasner,Unai Emery,4-3-2-1,4-2-3-1,defense,attack,BAD,average,0,,1,2,23,12;65,16,12,10,3,62.5,25.0,0.78,2.41,0.22,,40.1,59.9,,525,79.3,85.9,70,56,2,2,nan,,10,19,0,0,0,1,0,,19,12,4,2,0,1,1,4,1,9,2,1,13,,18,10,18,16,3,9,15,18,13,18,28.9,18.1,5,7,40.1,58.8,103.5,102.3,203,172,0,2,3,1,2.49,5.01,2.51,A,0,3
985,2021-22,2022-01-22,23,20:00,Etihad Stadium,51221,Robert Jones,Clear,2.2,59,Title race,Manchester City,Burnley,Pep Guardiola,Vincent Kompany,3-4-3,3-4-3,BALANCED,defense,good,average,2,1,3,1,31;69;81,78+1,17,10,9,2,52.9,20.0,3.37,0.89,-0.37,0.11,66.6,33.4,582,589,94.8,75.8,40,70,8,3,1,0,21,9,0,0,1,0,1,0,19,7,2,3,0,1,5,0,1,6,1,3,17,24,6,18,31,16,6,3,5,12,10,12,43.7,31.6,5,7,,64.3,106.3,107.5,221,256,1,2,1,0,1.85,5.21,3.74,H,3,0
796,2021-22,2021-09-03,9,17:30,St. James' Park,39335,Thomas Bramall,Sunny,0.9,56,League,Newcastle,Brighton,Eddie Howe,Roberto De Zerbi,3-5-2,4-2-3-1,defense,balanced,average,good,1,0,3,1,6+5;70;86,19,10,17,5,1,N/A,5.9,2.78,1.01,0.22,-0.01,43.9,56.1,305,375,89.0,85.9,39,57,11,2,2,1,9,9,1,0,0,0,0,0,11,15,1,2,0,0,1,0,0,2,1,3,13,15,10,18,13,15,5,4,16,7,17,,-,36.0,6,17,56.3,68.6,108.0,101.4,215,290,4,2,1,0,2.8,3.16,3.06,H,3,0
1550,2023-24,2023-08-28,31,19:45,Gtech Community Stadium,15158,Thomas Bramall,,17.0,43,League,Brentford,Luton Town,Thomas Frank,Rob Edwards,4-3-2-1,4-4-2,attack,defense,bad,bad,0,0,2,0,30;64,none,13,14,10,8,,57.1,1.77,0.48,0.23,-0.48,59.6,40.4,402,466,82.8,79.5,25,65,N/A,3,1,0,22,20,1,0,1,0,1,0,12,9,1,3,0,0,0,2,8,8,0,2,27,21,8,12,31,15,6,,16,22,5,16,24.0,N/A,20,13,74.1,67.6,109.8,105.5,154,214,2,2,0,0,2.24,3.25,4.05,H,3,0
1431,2022-23,2023-02-27,38,17:30,Bramall Lane,29638,Michael Oliver,Sunny,19.4,48,League,Sheffield United,Luton Town,Chris Wilder,Rob Edwards,4_2_3_1,4-3-3,defense,defense,average,good,3,0,3,1,18;29;89,,12,8,8,3,66.7,null,3.23,0.6,-0.23,0.4,52.8,47.2,608,566,70.6,76.3,,65,4,2,2,1,8,8,0,1,1,0,0,0,17,12,1,3,0,0,3,0,2,5,1,3,11,23,20,-10,27,38,,,7,9,17,18,27.4,30.5,9,14,41.8,,106.2,103.9,,,2,3,2,0,2.32,4.76,2.79,H,3,0
387,2020-21,2020-09-17,9,15:00,London Stadium,60344,Chris Kavanagh,Overcast,6.2,86,Top 4 battle,West Ham,Everton,David Moyes,Sean Dyche,4_4_2,4-2-3-1,def,defense,bad,good,0,1,1,1,74,46,17,12,7,6,41.2,50.0,1.39,,-0.39,,54.6,45.4,340,352,,74.4,46,56,6,6,1,1,17,5,,0,0,0,0,0,16,18,2,4,0,0,6,4,5,,1,1,11,nan,12,12,12,28,6,9,12,5,5,17,23.6,17.8,,4,50.6,54.0,109.6,,205,190,3,5,2,2,2.1,6.44,2.72,D,1,1
